product_id,product_name,category,brand,price,cost_price,discount_pct,rating,num_reviews,stock_quantity,reorder_point,weight_kg,sku,launch_date,is_active,is_featured,warranty_period,supplier_id,tags
25,Smart Bulb WiFi,Electronics,LG,438.2,204.51,27.0,4.0,1118,1143,151,19.33,SKU-4M2JA04U,2023-10-23,no,No,No warranty,SUP-9903,bestseller|wireless|limited
26,Portable Projector,Electronics,Xiaomi,2378.22,1494.01,6.8,4.9,1034,8229,312,8.33,SKU-D4D6AF58,2021-04-27,no,Yes,6 Months,SUP-2315,eco|clearance|sale|premium
27,Action Camera 4K,Electronics,Apple,2113.15,919.6,7.5,2.2,237,753,176,19.91,SKU-KNFTU2GC,2024-09-14,YES,No,No warranty,SUP-3344,clearance|premium|sale
28,Smart Home Hub,Electronics,Logitech,2886.28,1851.87,20.6,2.2,3151,7916,64,5.97,SKU-UU9K9XJU,2023-12-02,Yes,No,1 Year,SUP-5689,wireless|eco
29,Laptop Stand Adjustable,Electronics,Apple,1940.79,986.17,19.8,3.3,5999,2153,56,22.75,SKU-LOH25NSJ,2021-09-13,No,Yes,2 years,SUP-6549,trending|new|bestseller|limited
30,Bluetooth Speaker 360,ELECTRONICS,Xiaomi,1612.03,901.41,30.3,3.7,4788,6242,431,15.98,SKU-NYQW7LVX,2023-09-15,no,Yes,6 months,SUP-1609,trending|wireless|bestseller|premium
31,Action Camera 4K,Electronics,Logitech,467.8,255.05,4.5,3.0,3343,4583,26,17.27,SKU-HQIN9N6X,2021-04-05,YES,Yes,6 months,SUP-8450,
32,Air Purifier HEPA,Electronics,LG,2440.09,1175.02,34.8,4.2,4882,46,151,21.47,SKU-FEJGXAA2,2022-01-05,yes,Yes,6 months,SUP-7897,clearance
33,Wireless Charger Pad,Electronics,Samsung,2726.71,1719.51,13.6,3.6,255,996,255,21.19,SKU-PDZP6LFE,2023-08-28,yes,Yes,Lifetime,SUP-9282,trending
34,Tablet 10inch,Electronics,LG,2483.12,1339.78,32.8,2.3,2560,4176,201,23.84,SKU-YRDDP0NE,2021-04-04,yes,Yes,1 Year,SUP-7929,premium
35,Webcam 4K HD,Electronics,Apple,1671.02,735.6,12.5,1.9,3515,9190,402,20.47,SKU-WXA73JGZ,2022-04-25,yes,,1 Year,,trending
36,Noise Cancelling Headphones,Electronics,Logitech,2650.61,1204.58,33.9,1.2,668,4458,236,16.57,SKU-RPJ1EPKY,2023-01-26,No,Yes,,SUP-4349,new|premium
37,Air Purifier HEPA,Electronics,LG,2500.9,1706.04,3.2,4.4,346,7147,19,11.52,SKU-CLPOXKO8,2021-09-24,no,Yes,1 Year,SUP-8138,limited
38,USB-C Hub 7-in-1,Electronics,JBL,2718.24,1419.69,32.7,4.3,6676,2419,130,2.61,SKU-JGF1C8WQ,2023-05-26,no,No,Lifetime,SUP-6179,clearance
39,LED Monitor 27inch,Electronics,Bose,175.39,121.21,3.5,4.5,7006,1479,324,14.87,SKU-NU80B6UG,2023-07-29,no,No,6 months,SUP-6626,organic
40,Wireless Charger Pad,Electronics,Sony,2754.22,1475.15,34.9,3.7,428,5482,43,8.28,SKU-UNJ48VFC,2023-10-28,Yes,Yes,6 Months,SUP-7421,premium
41,Robot Vacuum Cleaner,Electronics,Apple,1273.1,670.47,16.3,1.7,1754,5598,495,19.17,SKU-G9FK2ST0,2023-03-29,Yes,Yes,Lifetime,SUP-7172,wireless|new
42,Wireless Charger Pad,Electronics,Philips,2352.48,1133.66,10.8,4.9,6425,7684,472,20.89,SKU-N89QKNS8,2024-06-22,Yes,No,,SUP-8873,organic
43,Laptop Stand Adjustable,Electronics,Xiaomi,2731.96,1873.7,39.8,4.7,3398,872,212,12.58,SKU-I9NB74X2,2021-08-02,Yes,Yes,No warranty,SUP-3273,clearance|sale|trending|organic
44,USB-C Hub 7-in-1,Electronics,Philips,369.94,178.85,28.8,3.5,514,1816,438,22.63,SKU-VASIFPWI,2022-10-10,Yes,Yes,,SUP-9618,limited
45,Smart Home Hub,Electronics,Apple,2200.16,1363.86,34.7,3.9,2723,2185,32,8.84,SKU-MX3Y9RGE,2024-01-18,no,Yes,6 months,SUP-1686,organic|limited|clearance
46,Noise Cancelling Headphones,Electronics,Philips,1107.22,787.59,33.4,4.6,3167,5554,105,12.43,SKU-R7S20CV3,2023-04-28,No,Yes,2 years,SUP-6021,
47,Smart Watch Series 5,Electronics,Apple,1221.6,708.02,33.7,1.6,255,2339,444,15.21,SKU-2BC2NNUV,2023-11-21,no,Yes,1 Year,SUP-3255,
48,Power Bank 20000mAh,Electronics,Bose,1837.57,1181.36,44.9,1.8,1111,1213,241,4.36,SKU-Z9389YZT,2022-03-28,No,No,6 Months,SUP-6922,bestseller
49,Tablet 10inch,Electronics,JBL,2653.32,1122.39,17.9,3.9,3921,8612,220,19.24,SKU-3C9XQYM5,2024-04-27,Yes,No,,SUP-3034,new|wireless|eco
50,Bluetooth Speaker 360,Electronics,Philips,2869.27,1423.32,28.1,3.5,765,8234,338,4.26,SKU-7FXZV4U3,2021-02-14,Yes,Yes,1 Year,SUP-4453,wireless|sale|clearance|eco
51,Portable Projector,Electronics,Philips,2067.4,941.35,18.7,2.9,2786,9939,83,7.85,SKU-Z049ENUL,2022-12-26,Yes,Yes,1 year,SUP-5754,bestseller|new|eco|premium
52,LED Monitor 27inch,electronics,Bose,2835.97,1636.09,43.5,1.9,2890,797,35,7.07,SKU-V4YKADEJ,2022-07-23,YES,,6 months,SUP-4189,trending|limited|clearance
53,USB-C Hub 7-in-1,Electronics,Xiaomi,2960.43,1762.17,16.5,1.6,4935,8341,215,12.53,SKU-BELRQVSL,2023-08-11,yes,No,Lifetime,SUP-5902,
54,Wireless Earbuds Pro,Electronics,Logitech,2901.38,1955.58,34.9,3.3,5909,841,308,12.04,SKU-SZ1N3IUZ,2021-10-24,Yes,Yes,1 year,SUP-4340,sale|new|bestseller|premium
55,Air Purifier HEPA,Electronics,OnePlus,2029.23,1427.93,30.6,4.2,2165,9995,257,4.85,SKU-IUI9KKHZ,2022-05-08,no,Yes,1 Year,SUP-5715,
56,Smart Bulb WiFi,Electronics,LG,1618.04,1175.6,31.3,1.5,5043,9614,132,6.1,SKU-YTWBOZD1,2021-01-09,Yes,Yes,No warranty,SUP-4267,eco|premium|sale
57,Smart Watch Series 5,Electronics,Sony,2513.63,1827.09,1.6,4.3,6454,8116,105,23.42,SKU-875AUD9K,2023-09-24,no,No,No warranty,SUP-2845,premium|new|sale|eco
58,Portable Projector,Electronics,Xiaomi,264.78,167.93,8.3,1.6,2650,4064,13,6.56,SKU-I18K0AXY,2021-04-07,Yes,Yes,No warranty,SUP-6095,eco|bestseller|organic
59,Air Purifier HEPA,Electronics,Bose,2406.98,1658.32,34.3,3.7,4880,1341,279,11.2,SKU-ZCUCTSUF,2022-05-25,no,Yes,6 Months,SUP-2489,sale|clearance|new|premium
60,Wireless Earbuds Pro,Electronics,Xiaomi,14.03,6.68,3.3,2.7,5737,1044,287,24.85,SKU-7C7BO119,2023-10-01,YES,Yes,No warranty,SUP-7184,eco|trending
61,Wireless Earbuds Pro,Electronics,Samsung,1391.7,906.95,19.1,2.5,1881,4055,245,8.69,SKU-J70E3P15,2021-01-25,Yes,No,,SUP-1797,limited
62,LED Monitor 27inch,Electronics,LG,2195.89,1123.45,26.9,3.7,2626,3881,164,21.91,SKU-9SOJUV0G,2023-11-21,YES,No,2 years,SUP-7244,limited|wireless|new
63,Laptop Stand Adjustable,Electronics,Bose,1689.35,1247.97,25.1,1.5,1989,4177,114,8.29,SKU-CQNT3BNV,2021-03-03,Yes,No,Lifetime,SUP-4555,premium|sale|bestseller
64,Webcam 4K HD,Electronics,Logitech,1192.91,577.09,14.5,2.1,3819,8743,342,9.01,SKU-JSRD9Q46,2022-07-30,yes,,1 Year,,premium|new|bestseller|organic
65,Noise Cancelling Headphones,Electronics,Philips,1468.42,959.24,33.3,2.8,6002,5770,96,3.54,SKU-TG698S4C,2024-06-24,Yes,Yes,1 Year,SUP-2113,bestseller
66,Smart Bulb WiFi,ELECTRONICS,Bose,1598.98,869.79,0.8,3.9,4388,4697,18,12.58,SKU-ZP7G7SIW,2022-01-28,yes,Yes,6 months,SUP-7652,bestseller|premium
67,Bluetooth Speaker 360,Electronics,Xiaomi,1660.34,696.75,0.4,1.7,4094,7109,340,19.62,SKU-U4DTBH55,2023-01-09,No,Yes,6 Months,SUP-9897,new
68,Portable Projector,Electronics,Apple,1694.05,1013.62,38.2,3.7,4428,5435,206,18.9,SKU-F90S9BP4,2022-06-14,YES,,2 years,SUP-8381,organic|limited|wireless
69,Webcam 4K HD,Electronics,Apple,466.89,303.05,28.5,4.0,2594,5909,64,2.33,SKU-7Q1DDPUS,2021-06-10,Yes,Yes,6 months,SUP-6315,premium
70,Webcam 4K HD,Electronics,Logitech,2057.52,945.07,12.1,2.1,1195,1036,95,10.9,SKU-PRCJIWVH,2021-06-16,Yes,,No warranty,SUP-7224,clearance|eco|limited
71,Gaming Mouse 16000DPI,Electronics,Bose,2893.9,2138.75,13.1,3.8,4022,9435,410,6.1,SKU-N3OEUVTY,2023-05-05,Yes,Yes,1 year,SUP-5773,limited
72,Action Camera 4K,Electronics,Xiaomi,2972.15,1687.39,18.0,3.0,7539,6853,288,0.97,SKU-8Z3V6DIX,2021-09-16,Yes,No,6 Months,SUP-6432,trending|sale|wireless|new
73,Smart Home Hub,Electronics,Xiaomi,2040.27,1309.15,6.8,5.0,3954,1712,161,10.43,SKU-8E7FLQHR,2023-01-10,Yes,Yes,No warranty,,sale
74,Webcam 4K HD,Electronics,JBL,484.61,288.8,43.1,1.9,3318,3022,105,16.03,SKU-PBWHVNZH,2024-03-14,Yes,No,1 Year,SUP-6993,trending|premium|clearance|organic
75,Smart Home Hub,Electronics,Bose,2442.15,1580.31,13.4,3.5,694,2194,170,2.99,SKU-KGYSPENG,2023-09-15,Yes,No,2 years,SUP-6154,eco
76,Smart Bulb WiFi,Electronics,Xiaomi,1249.81,867.32,22.0,1.3,252,3613,159,0.87,SKU-IK2U1RSU,2022-02-21,yes,No,6 months,SUP-8231,trending|bestseller|premium|limited
77,USB-C Hub 7-in-1,Electronics,LG,2214.15,1419.71,38.7,3.4,3507,2719,325,3.52,SKU-HHCMKTLZ,2022-03-26,No,No,6 Months,SUP-3221,sale|premium|new|eco
78,Portable Projector,Electronics,Bose,1899.04,1176.9,16.9,1.3,6509,1525,216,12.91,SKU-K7N8LA10,2024-02-10,no,Yes,1 Year,SUP-4568,clearance|premium
79,Noise Cancelling Headphones,  Electronics  ,Samsung,,1302.83,0.7,4.7,1294,7230,243,0.07,SKU-8HYEXF7J,2023-10-14,yes,Yes,6 Months,,bestseller|limited|trending
80,Webcam 4K HD,Electronics,JBL,32.81,21.11,36.8,5.0,3459,2165,254,1.82,SKU-N0DL5E11,2021-07-26,Yes,Yes,6 months,SUP-3688,new|limited
81,USB-C Hub 7-in-1,Electronics,Logitech,1057.85,582.12,35.6,2.0,5280,1380,137,13.86,SKU-VV2Y4XKS,2023-03-03,Yes,Yes,6 months,SUP-4921,bestseller
82,Noise Cancelling Headphones,Electronics,Sony,2517.73,1377.96,24.6,1.7,3858,1195,18,14.7,SKU-AH78OKZ1,2022-10-21,YES,Yes,Lifetime,SUP-5546,organic
83,Bluetooth Speaker 360,Electronics,Philips,2191.23,1525.67,2.6,1.3,3559,1900,242,15.33,SKU-BXXGAEAR,2022-06-23,No,No,6 Months,SUP-5403,sale
84,Bluetooth Speaker 360,Electronics,Bose,1083.57,622.9,25.5,2.5,2089,1685,467,14.37,SKU-0ISB5IQN,2021-08-22,Yes,Yes,6 Months,SUP-7870,limited|eco
85,Mechanical Keyboard RGB,Electronics,LG,2944.33,2160.93,3.1,2.9,2312,5090,177,2.21,SKU-QNK20IN8,2024-04-15,Yes,No,1 year,,sale|eco|wireless
86,Webcam 4K HD,Electronics,Xiaomi,184.39,138.1,32.0,1.4,7547,3792,469,21.15,SKU-O6Q0USWO,2023-07-09,Yes,Yes,1 year,SUP-5276,eco|wireless|clearance|new
87,USB-C Hub 7-in-1,Electronics,Sony,945.53,418.17,16.1,4.1,3702,5051,247,6.66,SKU-EFY3ZB4L,2021-05-22,Yes,Yes,6 months,SUP-5262,sale|limited
88,Laptop Stand Adjustable,ELECTRONICS,Apple,2491.97,1853.77,5.9,4.3,3049,1376,308,14.67,SKU-7C9HX3D4,2024-06-10,yes,,,SUP-8096,clearance|sale|limited|eco
89,Laptop Stand Adjustable,Electronics,Samsung,1852.85,1160.9,22.5,4.5,3924,999,54,7.03,SKU-EH5SW229,2024-04-29,yes,Yes,No warranty,SUP-9231,new|sale|eco
90,Smart Bulb WiFi,Electronics,JBL,1754.05,844.52,7.2,2.0,1975,4366,283,20.42,SKU-7C9H42M4,2024-08-06,Yes,No,2 years,SUP-6878,eco
91,Smart Bulb WiFi,Electronics,JBL,1473.86,636.1,10.5,1.9,4312,7831,10,8.33,SKU-W3MG25CF,2023-12-31,Yes,Yes,1 Year,SUP-2188,wireless|trending|eco|new
92,Smart Bulb WiFi,Electronics,OnePlus,2906.38,1868.06,41.8,4.1,1828,9649,427,4.43,SKU-LYE088O9,2023-06-01,Yes,No,1 Year,SUP-4619,clearance
93,Bluetooth Speaker 360,Electronics,OnePlus,799.31,389.54,3.1,2.0,885,20,34,9.68,SKU-085RNTDR,2024-09-04,Yes,No,1 Year,,trending|wireless|eco
94,Bluetooth Speaker 360,Electronics,OnePlus,1842.87,1048.52,1.4,4.8,1351,,465,10.88,SKU-BL9OT7TX,2022-04-07,Yes,,Lifetime,SUP-9043,sale|limited|trending
95,Mechanical Keyboard RGB,Electronics,Philips,1423.34,626.88,35.3,2.9,7330,4341,56,16.06,SKU-NNNGBPJ4,2023-05-27,Yes,No,6 Months,SUP-6632,wireless|bestseller|sale|limited
96,Digital Photo Frame,Electronics,LG,241.47,172.89,32.1,3.0,7376,8467,419,14.31,SKU-9F8Q8GHG,2021-03-08,YES,Yes,No warranty,SUP-3422,eco|trending|organic
97,Wireless Earbuds Pro,Electronics,Logitech,2346.15,1030.86,6.7,3.3,4773,1641,483,2.69,SKU-22555JXU,2023-01-05,Yes,No,1 year,,bestseller|sale|clearance
98,Power Bank 20000mAh,Electronics,Bose,2056.13,1522.3,10.3,2.2,6092,7259,406,20.65,SKU-JPXGH301,2024-09-09,yes,Yes,,SUP-9303,new
99,Smart Home Hub,Electronics,LG,2471.4,1425.49,28.6,1.5,250,3963,200,12.25,SKU-Q8RTM4J3,2021-05-21,No,Yes,1 year,SUP-4511,bestseller|premium
100,Smart Bulb WiFi,Electronics,Sony,1805.42,727.52,11.4,4.2,2502,4511,226,22.39,SKU-4QHKSWVA,2023-10-26,yes,No,Lifetime,SUP-2771,premium|eco|wireless
101,Merino Wool Sweater,Clothing,H&M,2408.08,1468.96,29.7,3.7,5908,417,345,12.46,SKU-K6O0U93M,2024-01-14,Yes,No,No warranty,SUP-6873,organic|new
102,Compression Sports Shorts,Clothing,Puma,670.65,320.68,39.2,2.7,7265,5428,200,6.55,SKU-K4Q5V7C6,2023-02-17,Yes,Yes,,SUP-3470,eco|limited
103,Compression Sports Shorts,Clothing,Zara,1894.94,875.25,28.6,1.0,2240,3430,399,19.35,SKU-UF22EPPP,2023-01-12,YES,,1 year,SUP-1230,sale|wireless
104,Ethnic Saree,Clothing,FabIndia,505.23,347.77,13.4,2.2,5962,8524,315,13.13,SKU-PYE9R1F6,2024-06-15,YES,Yes,6 Months,SUP-4460,trending|eco
105,Pajama Set Cotton,Clothing,H&M,148.64,65.08,37.6,1.2,948,6828,237,9.54,SKU-TRFZWKXX,2022-02-24,Yes,Yes,6 months,SUP-2928,clearance
106,Chinos Trousers,Clothing,Adidas,1646.68,1183.35,31.0,2.9,1921,44,16,16.81,SKU-64YFDS0D,2022-02-02,Yes,Yes,2 years,SUP-1820,sale|premium
107,Slim Fit Denim Jeans,Clothing,H&M,1991.75,915.57,16.1,2.8,5093,4395,459,18.34,SKU-NMEOQ4YR,2022-10-18,Yes,Yes,,SUP-3611,wireless|clearance|new|premium
108,Zip-Up Hoodie,Clothing,Van Heusen,343.25,186.71,2.1,2.0,2574,202,370,21.71,SKU-S00I85SY,2023-08-19,Yes,Yes,1 year,SUP-7305,sale
109,Formal Oxford Shirt,Clothing,Van Heusen,996.03,495.38,22.8,3.2,3101,6607,428,5.91,SKU-Q2Q4QERX,2021-06-09,YES,,,SUP-2489,organic|wireless|bestseller
110,Puffer Jacket,Clothing,Puma,1861.18,1052.68,29.6,3.9,934,1596,398,16.49,SKU-AMW2TND6,2023-02-04,Yes,Yes,Lifetime,SUP-2978,bestseller|clearance|wireless|eco
111,Floral Summer Dress,Clothing,Van Heusen,1770.0,1020.35,43.4,1.0,6031,795,293,23.39,SKU-4RS7GU0E,2022-08-25,yes,No,No warranty,SUP-5067,premium|clearance|new
112,Blazer Single Button,Clothing,Puma,2806.86,1744.19,9.0,3.5,2380,5657,481,16.83,SKU-9X8SYLEM,2023-01-17,YES,No,1 Year,SUP-1209,limited
113,Polo Ralph T-Shirt,Clothing,Adidas,190.79,128.69,9.2,3.2,2938,7415,62,15.42,SKU-YUIXNS2Z,2023-12-13,Yes,Yes,1 Year,SUP-6122,sale
114,Merino Wool Sweater,Clothing,Puma,1642.11,1003.63,34.9,4.9,2409,7353,100,24.59,SKU-C80EBKJF,2024-08-07,No,Yes,6 Months,SUP-1654,wireless|sale|premium
115,Merino Wool Sweater,Clothing,Levi's,2359.84,1075.57,24.4,2.6,2862,3624,462,5.37,SKU-LMH1T939,2021-01-14,Yes,Yes,6 Months,SUP-4994,limited|trending|wireless
116,Midi Skirt,Clothing,FabIndia,136.34,97.4,8.7,3.1,7767,1572,95,24.29,SKU-1TWHWHY4,2021-11-16,YES,Yes,,,sale
117,Chinos Trousers,Clothing,Arrow,1216.32,621.23,17.5,1.5,48,1036,397,18.66,SKU-B4MSKYVK,2024-12-10,no,Yes,,SUP-3561,limited|organic
118,Leather Jacket,Clothing,H&M,1667.43,738.89,0.2,3.4,4400,8970,494,2.17,SKU-H00H64FG,2023-08-17,No,No,6 Months,SUP-1891,organic|trending|premium|eco
119,Zip-Up Hoodie,Clothing,Nike,1860.45,1330.3,14.3,2.8,5049,5008,365,14.63,SKU-UNLPAIH0,2022-11-09,No,Yes,6 Months,SUP-8863,premium|clearance|trending
120,Blazer Single Button,Clothing,Nike,,1135.01,3.4,1.1,4154,511,426,14.57,SKU-OV6TT9Q1,2022-07-23,YES,No,Lifetime,SUP-5767,limited
121,Pajama Set Cotton,Clothing,Levi's,425.41,193.87,25.5,3.3,7145,2395,386,18.31,SKU-7B1IJIYS,2024-05-14,yes,Yes,No warranty,SUP-1653,trending|organic|premium
122,Leather Jacket,Clothing,Mango,2507.23,1456.28,16.9,4.6,4230,,190,20.44,SKU-M25A5PIS,2022-03-13,Yes,No,2 years,SUP-2938,eco|trending|clearance|wireless
123,Slim Fit Denim Jeans,Clothing,Levi's,487.58,302.46,1.8,3.3,458,2725,142,23.07,SKU-SO8W5038,2021-12-03,no,No,1 Year,SUP-4594,wireless|new
124,Pajama Set Cotton,Clothing,Mango,1137.74,507.74,0.7,3.1,7449,8263,360,10.52,SKU-FDRWB2SE,2023-01-20,Yes,No,6 months,SUP-8069,sale|organic|limited
125,Cargo Pants,Clothing,Zara,767.28,512.58,41.0,1.3,4901,8908,219,6.48,SKU-A0ASSNH2,2022-09-28,yes,Yes,6 Months,SUP-5281,wireless|eco|premium|organic
126,Blazer Single Button,Clothing,FabIndia,2965.58,1785.81,34.8,2.6,1131,1951,392,5.78,SKU-28DS22WY,2021-03-22,Yes,Yes,6 months,SUP-3381,trending|wireless|premium|organic
127,Midi Skirt,Clothing,Adidas,1794.43,1311.73,36.9,3.6,3596,175,113,21.27,SKU-7SH2SZWY,2022-07-13,Yes,Yes,6 months,SUP-7544,limited|bestseller|sale|eco
128,Cargo Pants,Clothing,Puma,2447.47,1172.84,43.3,2.8,3309,9419,12,6.56,SKU-ODCK8285,2024-06-17,No,Yes,Lifetime,SUP-4985,clearance|sale|wireless|organic
129,Track Suit Set,Clothing,Arrow,1551.93,626.05,37.4,2.0,761,6536,354,18.73,SKU-MTGLHUG0,2024-12-16,Yes,Yes,1 year,SUP-5348,bestseller|eco
130,Pajama Set Cotton,Clothing,H&M,1626.71$,674.75,21.7,3.5,4033,9412,454,6.9,SKU-G1SO1ESP,2024-12-30,Yes,No,1 Year,SUP-3863,organic
131,Track Suit Set,Clothing,Puma,,463.42,10.7,2.9,5022,5621,197,4.64,SKU-PP1NOQU9,2023-12-02,Yes,Yes,1 Year,SUP-8081,new|wireless
132,Midi Skirt,Clothing,FabIndia,2357.07,1190.35,25.3,3.3,3263,1621,363,4.13,SKU-HJ4D0JMU,2024-06-12,No,,6 months,SUP-4259,premium|eco
133,Pajama Set Cotton,Clothing,Adidas,2870.0,2020.16,28.8,4.7,3455,9365,217,21.23,SKU-CFILKJXJ,2022-11-23,yes,No,No warranty,SUP-4012,bestseller|premium
134,Formal Oxford Shirt,Clothing,Van Heusen,83.96,45.25,34.4,1.3,2150,2544,53,16.39,SKU-5LIKWE4B,2023-10-28,yes,Yes,No warranty,SUP-9856,new|organic|wireless|premium
135,Blazer Single Button,Clothing,Adidas,1447.55,694.09,4.0,2.2,3376,4256,89,7.62,SKU-A34MQA78,2023-01-12,No,Yes,1 Year,SUP-4788,bestseller|limited|organic
136,Waterproof Raincoat,Clothing,Zara,722.49,482.33,40.9,4.2,5608,4454,155,16.23,SKU-TJGCEDQQ,2023-12-25,no,No,,,premium
137,Crop Top,Clothing,Nike,938.17,637.78,44.9,2.9,6483,519,179,2.05,SKU-1FJOTG6J,2022-08-16,Yes,Yes,6 Months,SUP-8257,bestseller
138,Polo Ralph T-Shirt,Clothing,Puma,2186.07,1444.24,24.7,1.5,3942,4895,111,9.04,SKU-BY9IPA2V,2022-09-07,Yes,Yes,Lifetime,SUP-8786,eco|trending
139,Slim Fit Denim Jeans,Clothing,H&M,465.99,273.87,4.8,3.0,2594,9148,413,16.13,SKU-M60AN0JB,2024-01-03,no,No,6 Months,SUP-4057,clearance|premium|new
140,Cotton T-Shirt V-Neck,Clothing,FabIndia,560.68,227.95,38.6,4.1,1956,5254,379,1.63,SKU-83GY1FKO,2022-05-16,Yes,Yes,,SUP-3126,bestseller
141,Crop Top,Clothing,FabIndia,1772.95,739.64,9.9,3.9,107,3419,345,12.31,SKU-6C2CU7ON,2024-01-06,Yes,No,6 months,,organic|trending
142,Cargo Pants,Clothing,Levi's,1676.63,1108.48,34.5,3.3,5525,7515,369,16.65,SKU-5GGOMF9P,2022-07-02,yes,No,2 years,SUP-7755,eco|bestseller|organic|clearance
143,Ethnic Saree,Clothing,H&M,2948.95,1794.49,23.3,5.0,2472,107,163,24.61,SKU-HL1737SU,2023-06-07,Yes,,2 years,SUP-5341,bestseller|premium
